worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.6,18:53:47,18:53:4,0.513,0.513,1,0.1,4.4,94.9,5.0,0.0,0.0,0.0,0.0,0.5,1.4,9.6,0.8,3.9,0.0,0.8,1.3,0.4,1878903.2,156464.8,118892.0,215506.0,794397.6,0.0,561942.8,100.0,53.4,53.4,48.1,53.4,48.1
192.168.0.6,18:53:50,18:53:5,571.43645,232.55047883597862,1,37.8,29.8,67.9,32.0,0.0,0.0,0.0,0.0,0.8,2.9,16.8,0.7,4.1,0.1,0.7,1.0,0.4,1882265.2,153102.8,118954.0,215509.6,797076.4,0.0,561963.2,100.0,315.3,315.3,313.6,315.3,313.7
192.168.0.6,18:54:00,18:54:0,32.6218,16.62642434584756,1,87.9,64.6,32.1,67.8,0.0,0.0,0.0,0.0,0.7,1.7,13.2,0.7,6.8,0.1,0.7,1.3,0.2,1884598.4,150769.6,119354.0,215416.0,798544.8,0.0,562018.0,100.0,661.9,661.9,656.7,661.4,656.3
192.168.0.6,18:54:10,18:54:1,25.935699999999997,12.892903999999982,1,100.0,65.3,30.8,69.1,0.0,0.0,0.0,0.0,2.0,4.1,26.8,0.5,3.4,0.2,0.5,0.5,0.5,1885349.6,150018.4,120007.6,215428.0,798370.4,0.0,562020.4,100.0,751.0,751.0,746.1,751.0,746.2
192.168.0.6,18:54:20,18:54:2,29.68,15.20906015037594,1,93.1,65.3,30.5,69.5,0.0,0.0,0.0,0.0,19.1,2.0,120.0,0.9,4.6,0.2,0.9,1.2,0.3,1886064.8,149303.2,120722.4,215436.0,798357.6,0.0,562052.8,100.0,686.3,686.3,682.7,686.3,682.8
192.168.0.6,18:54:30,18:54:3,19.271099999999993,15.59703303303306,4,99.9,34.5,62.7,37.2,0.0,0.0,0.0,0.0,0.7,2.4,15.6,1.3,8.8,0.1,1.3,2.4,0.4,1886358.0,149010.0,121154.8,215456.0,798182.4,0.0,562061.2,100.0,220.9,220.9,215.6,220.9,215.7
192.168.0.6,18:54:40,18:54:4,18.6714,15.80807461139895,6,96.5,24.7,73.0,26.9,0.0,0.0,0.0,0.0,1.8,2.3,19.6,1.1,7.6,0.0,1.1,1.8,0.3,1886594.4,148773.6,121330.8,215476.0,798554.4,0.0,562064.4,100.0,149.5,149.5,144.2,149.5,144.3
192.168.0.6,18:54:50,18:54:5,19.526,16.426152847152824,8,100.1,20.4,77.4,22.5,0.0,0.0,0.0,0.0,0.6,2.4,15.6,1.1,10.2,0.1,1.1,2.2,0.3,1886495.2,148872.8,121411.6,215488.0,798155.2,0.0,562060.0,100.0,117.0,117.0,112.3,117.0,112.4
192.168.0.6,18:55:00,18:55:0,19.871,16.34928671328672,8,100.1,21.4,76.0,23.9,0.0,0.0,0.0,0.0,19.7,2.2,121.2,1.1,8.8,0.1,1.1,2.0,0.4,1887236.0,148132.0,121486.4,215492.0,798819.2,0.0,562066.4,100.0,118.9,118.9,113.6,118.4,113.2
192.168.0.6,18:55:10,18:55:1,19.962849999999996,16.525447999999972,8,100.0,22.6,74.5,25.1,0.0,0.0,0.0,0.0,1.8,3.5,24.4,1.1,5.7,0.2,1.1,1.5,0.6,1886429.6,148938.4,121340.0,215508.0,798123.2,0.0,562072.4,100.0,114.1,114.1,110.1,114.1,110.2
