worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge, [DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,19:53:41,19:53:3,930.9840999999999,467.09975000000003,1,1.2,39.1,49.6,44.1,0.0,89.9,0.8,38.1,936722.0,67990.0,89919.2,42413.6,733359.2,0.0,43134.8,100.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:53:44,19:53:4,1845.511,1097.7318461538462,1,1.3,65.2,19.9,73.5,0.0,89.9,0.8,59.1,930080.4,74631.6,89677.2,39448.0,738096.8,0.0,34206.4,100.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0,0.0,26.2,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:53:53,19:53:5,3555.7757500000002,1181.5483181818176,2,6.6,94.8,0.1,99.6,0.0,13.6,0.8,27.6,917084.8,87627.2,89776.8,30263.2,734873.6,0.0,22833.6,100.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,27.3,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:54:01,19:54:0,1454.2985,607.6382173913041,3,13.8,95.0,0.4,99.2,0.0,143.2,0.5,14.6,921130.0,83582.0,89901.6,30657.6,732522.4,0.0,24686.4,100.0,0.0,0.0,32.2,0.0,0.0,0.0,0.0,0.0,32.2,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:54:11,19:54:1,525.18795,248.14629891304352,4,18.4,96.9,0.1,99.8,0.0,9.2,1.0,3.7,929559.2,75152.8,89798.4,35482.0,731387.2,0.0,32292.4,100.0,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0.0,34.8,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:54:21,19:54:2,536.6106,256.55665315315326,4,22.2,97.1,0.5,99.4,0.0,5.6,0.4,3.7,931494.8,73217.2,89232.8,39204.8,731390.8,0.0,35752.0,100.0,0.0,0.0,34.6,0.0,0.0,0.0,0.0,0.0,34.6,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:54:31,19:54:3,937.5947,460.5071012145746,4,24.7,97.1,0.4,99.5,0.0,171.2,0.5,7.5,920302.4,84409.6,88551.6,39238.8,731665.6,0.0,29002.8,100.0,0.0,0.0,33.4,0.0,0.0,0.0,0.0,0.0,33.4,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:54:41,19:54:4,2416.82,1217.3143073593071,4,23.1,96.3,0.8,99.2,0.0,9.6,0.9,2.2,925691.2,79020.8,88870.0,40720.0,731865.2,0.0,28583.2,100.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,38.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:54:51,19:54:5,4468.78675,1511.1325365853656,5,24.6,96.9,0.8,99.1,0.0,130.0,1.0,1.7,929022.4,75689.6,88855.6,42522.8,732514.4,0.0,30689.6,100.0,0.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,31.8,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,19:55:01,19:55:0,3365.010199999997,1067.6014345047927,6,31.3,97.2,0.8,99.2,0.0,7.6,0.8,1.0,931263.2,73448.8,88880.4,43613.2,733174.0,0.0,31886.4,100.0,0.0,0.0,34.6,0.0,0.0,0.0,0.0,0.0,34.6,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
