worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,17:51:32,17:51:3,278.08050000000003,241.02354545454548,1,1.1,28.9,65.9,30.7,26.4,0.0,482.9,0.4,9.7,0.9,46.4,0.9,5.9,0.0,0.9,1.6,7.2,926634.0,78078.0,89683.2,58746.4,679902.0,0.0,59965.2,100.0,8.2,8.2,7.8,8.2,7.8
192.168.0.170,17:51:41,17:51:4,1466.2962,594.3860999999999,4,1.0,15.5,79.0,17.7,23.8,2.3,511.1,0.7,9.0,1.5,44.4,0.7,10.2,0.0,1.0,1.1,6.8,915235.2,89476.8,88513.6,59225.6,682011.2,0.0,48868.8,100.0,5.7,5.7,5.2,5.7,5.3
192.168.0.170,17:51:51,17:51:5,369.3555,255.75318181818182,1,1.1,28.3,68.3,30.6,7.0,0.0,242.1,0.6,0.4,1.1,6.0,1.0,10.3,0.0,1.6,2.4,2.5,909398.0,95314.0,88488.0,57520.0,682684.0,0.0,44362.8,100.0,9.8,9.8,9.0,9.3,8.6
192.168.0.170,17:52:01,17:52:0,305.2375,225.37436363636368,1,1.1,34.8,62.9,37.0,2.4,0.0,89.2,0.5,0.4,1.0,5.6,1.0,9.4,0.1,1.5,1.4,0.8,911480.4,93231.6,89088.0,58334.0,682553.6,0.0,42845.2,100.0,9.8,9.8,9.1,9.8,9.2
192.168.0.170,17:52:11,17:52:1,304.9631999999998,230.91886666666667,1,1.5,38.7,58.6,41.2,2.0,0.0,129.3,0.4,23.5,1.5,110.8,0.4,12.2,0.0,0.6,0.7,0.6,911031.6,93680.4,89134.4,58759.2,681272.0,0.0,43150.0,100.0,13.4,13.4,11.8,13.4,11.9
192.168.0.170,17:52:21,17:52:2,252.29625000000004,227.01180000000005,1,2.0,47.1,51.5,48.4,1.2,0.0,57.3,0.6,0.5,2.2,12.8,1.1,17.8,0.0,1.4,2.2,0.7,911687.2,93024.8,89091.2,59456.0,681182.0,0.0,44360.0,100.0,16.7,16.7,14.6,16.7,14.7
192.168.0.170,17:52:31,17:52:3,419.7147,246.79845000000006,1,2.0,49.5,48.3,51.6,1.3,0.0,50.4,0.6,0.4,1.3,6.8,1.0,9.0,0.0,1.1,2.0,0.7,915346.4,89365.6,89176.4,60282.4,683654.8,0.0,45030.8,100.0,16.3,16.3,14.6,16.3,14.7
192.168.0.170,17:52:41,17:52:4,289.7395000000001,245.54824999999997,4,2.0,23.4,75.3,24.5,1.4,0.0,78.9,0.4,22.1,1.8,106.0,0.8,18.4,0.1,0.8,2.0,0.8,916544.4,88167.6,89189.2,60823.6,684333.2,0.0,45535.2,100.0,6.8,6.8,6.4,6.8,6.5
192.168.0.170,17:52:51,17:52:5,265.2858000000001,233.20055000000002,1,2.0,46.1,51.5,48.5,1.0,0.0,52.5,0.4,0.4,2.4,11.2,0.8,13.1,0.0,0.9,1.4,0.6,916994.8,87717.2,89595.2,61300.4,683673.2,0.0,46020.4,100.0,16.8,16.8,15.2,16.3,14.8
192.168.0.170,17:53:01,17:53:0,274.3133000000001,238.90175,4,2.0,17.5,78.0,20.2,11.4,0.0,274.5,0.5,0.4,1.0,5.6,1.2,7.9,0.1,1.7,3.0,3.8,909399.2,95312.8,88433.6,58836.0,684542.8,0.0,42579.6,100.0,6.5,6.5,5.9,6.5,6.0
