worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.6,19:47:32,19:47:3,2641.21845,2117.649435064935,1,15.4,78.0,19.4,80.5,0.0,0.0,0.0,0.0,0.6,1.2,10.0,1.1,6.8,0.1,1.1,2.2,0.3,1955974.8,79393.2,123771.2,216791.6,792795.2,0.0,618006.4,100.0,231.1,231.1,212.7,231.1,212.0
192.168.0.6,19:47:42,19:47:4,2418.02325,1654.0595433333335,1,30.0,97.3,0.0,100.0,4.1,0.0,142.5,0.4,2.5,3.0,50.2,0.9,35.0,0.0,1.1,2.0,1.6,1950472.0,84896.0,122682.0,216439.6,820980.0,0.0,587587.2,100.0,320.5,320.5,301.2,320.0,299.2
192.168.0.6,19:47:51,19:47:5,1723.5402499999998,755.7820312499994,3,60.8,97.4,0.0,100.0,0.4,0.0,9.6,0.3,0.7,3.4,20.8,0.7,10.9,0.0,0.8,2.1,0.5,1955664.4,79703.6,122906.0,216460.8,825341.2,0.0,587241.6,100.0,290.7,290.7,275.7,290.7,275.3
192.168.0.6,19:48:01,19:48:0,1896.3414,1437.2749366391183,1,36.3,98.7,0.0,100.0,0.0,0.0,0.0,0.0,0.7,2.0,14.8,0.6,6.0,0.0,0.6,1.5,0.3,1954440.8,80927.2,123008.0,216324.0,824530.0,0.0,587276.4,100.0,292.6,292.6,271.1,292.6,271.0
192.168.0.6,19:48:10,19:48:1,1341.003,455.7815561160154,3,79.3,97.4,0.0,100.0,2.5,0.0,64.0,0.2,25.1,5.5,216.8,0.6,10.6,0.1,0.8,0.9,1.4,1930765.6,104602.4,122758.8,216106.8,828933.6,0.0,563370.8,100.0,341.3,341.3,323.2,341.3,323.0
192.168.0.6,19:48:22,19:48:2,2024.7749999999999,1372.8934334277624,1,35.3,97.9,0.0,100.0,0.0,0.0,0.0,0.0,0.6,1.8,12.4,0.9,8.2,0.0,0.9,2.2,0.3,1933673.2,101694.8,122910.4,216097.2,834003.6,0.0,560829.6,100.0,299.2,299.2,287.3,299.2,286.6
192.168.0.6,19:48:30,19:48:3,1750.5538499999993,228.8989109756097,4,82.0,92.5,5.4,94.6,0.0,0.0,0.0,0.0,0.5,2.2,13.2,0.9,8.0,0.0,0.9,1.6,0.2,1934796.4,100571.6,123065.2,216103.6,834829.6,0.0,560861.6,100.0,282.9,282.9,272.4,282.9,272.3
192.168.0.6,19:48:42,19:48:4,1492.5725,926.4107135549881,1,39.1,98.1,0.0,100.0,0.0,0.0,0.0,0.0,19.8,2.9,165.2,0.7,6.1,0.0,0.7,1.5,0.5,1932085.6,103282.4,123242.4,216116.4,831692.0,0.0,560982.0,100.0,325.1,325.1,310.2,324.6,309.3
192.168.0.6,19:48:51,19:48:5,1437.1623999999997,797.146488888888,2,58.5,98.1,0.0,100.0,0.0,0.0,0.0,0.0,19.8,4.0,169.6,0.9,7.8,0.0,0.9,1.3,0.5,1931570.0,103798.0,123409.6,216129.2,830576.0,0.0,561160.4,100.0,323.0,323.0,310.3,323.0,310.4
192.168.0.6,19:49:00,19:49:0,543.0572999999998,99.54175811518324,4,95.5,88.0,10.3,89.7,0.0,0.0,0.0,0.0,0.5,2.1,13.2,0.9,5.2,0.1,0.9,1.3,0.4,1932822.4,102545.6,123621.6,216165.6,831290.0,0.0,561437.6,100.0,259.3,259.3,247.1,259.3,247.2
