time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
19:33:3,9167.213,5503.699692307693,1,1.3,93.8,4.0,96.0,95.5,2.9,97.1,0.0,0.0,0.0,0.0,0.5,1.6,10.0,1.0,6.0,0.0,1.0,1.8,0.3,3604124.0,426416.0,289332.0,265233.2,1210154.8,0.0,1118114.0,100.0,12.1,12.1,11.8,12.1,12.0
19:33:4,14259.8871,11328.186090909092,1,2.2,94.4,3.8,96.2,94.6,4.6,95.4,0.0,0.0,0.0,0.0,0.5,1.9,11.6,0.9,7.0,0.0,0.9,2.2,0.4,3605722.4,424817.6,289571.2,264452.4,1209758.0,0.0,1118110.4,100.0,13.6,13.6,13.5,13.6,13.7
19:33:5,11539.967,11539.967,1,0.1,94.6,3.4,96.6,94.2,4.6,95.4,0.0,0.0,0.0,0.0,0.5,1.9,11.6,0.9,7.0,0.0,0.9,2.2,0.4,3606010.4,424529.6,289597.6,264740.8,1210076.0,0.0,1118112.0,100.0,19.0,19.0,18.5,19.0,19.1
19:34:0,13741.15235,10122.0225,1,1.8,93.4,5.1,94.9,93.3,4.5,95.5,0.0,0.0,0.0,0.0,35.2,1.7,170.6,0.9,6.5,0.2,0.9,1.6,0.4,3603655.2,426884.8,289682.8,264178.8,1208641.6,0.0,1118158.4,100.0,11.4,11.4,12.1,11.4,12.3
19:34:1,12472.016,12472.016,2,0.1,93.3,4.3,95.7,93.5,3.6,96.4,0.0,0.0,0.0,0.0,35.2,1.7,170.6,0.9,6.5,0.2,0.9,1.6,0.4,3607883.6,422656.4,289971.2,264946.0,1212020.0,0.0,1118185.2,100.0,16.1,16.1,16.5,15.6,16.6
19:34:2,11101.478449999999,4882.383250000001,2,2.8,93.8,4.7,95.3,93.5,5.1,94.9,0.0,0.0,0.0,0.0,1.7,3.6,25.2,0.8,6.1,0.2,0.8,1.3,0.5,3608352.4,422187.6,289799.6,264551.2,1212139.6,0.0,1118272.4,100.0,13.7,13.7,14.4,13.7,14.9
19:34:3,6771.49135,5858.684468750001,2,3.2,94.2,4.3,95.7,94.2,4.9,95.1,0.0,0.0,0.0,0.0,2.8,3.2,28.4,1.0,6.5,0.0,1.0,1.5,0.4,3605907.2,424632.8,289697.2,263946.0,1210308.0,0.0,1118276.4,100.0,12.0,12.0,12.5,12.0,12.9
19:34:4,6806.501499999999,5839.504294117647,2,3.4,95.5,3.2,96.8,94.8,3.8,96.2,0.0,0.0,0.0,0.0,0.4,1.8,8.8,0.9,4.4,0.0,0.9,1.4,0.3,3608108.0,422432.0,289828.0,264602.0,1212184.0,0.0,1118288.0,100.0,9.5,9.5,10.0,9.5,10.2
19:34:5,6411.095399999998,4612.791342857142,3,3.5,95.9,2.7,97.3,93.5,4.5,95.5,0.0,0.0,0.0,0.0,45.0,2.5,233.2,1.0,7.9,0.0,1.0,2.0,0.3,3610193.6,420346.4,289965.2,265152.0,1213836.8,0.0,1118294.8,100.0,15.4,15.4,16.1,15.4,16.7
19:35:0,4587.172500000001,3985.6494705882365,3,5.1,95.1,3.8,96.2,94.9,3.7,96.3,0.0,0.0,0.0,0.0,0.7,2.1,15.2,1.0,10.4,0.0,1.0,2.8,0.4,3605554.4,424985.6,289883.2,264305.6,1209816.8,0.0,1118317.2,100.0,12.0,12.0,12.7,12.0,12.9
19:35:1,4664.102,3957.9198775510204,3,4.9,94.8,3.7,96.2,94.5,3.9,96.1,0.0,0.0,0.0,0.0,29.6,4.4,151.6,0.7,4.9,0.3,0.7,1.1,1.2,3607377.2,423162.8,289924.0,264328.0,1211280.8,0.0,1118328.8,100.0,14.6,14.6,14.8,14.6,15.4
19:35:2,4709.606,3981.943826086954,3,4.6,94.5,4.0,96.0,94.8,4.0,96.0,0.0,0.0,0.0,0.0,18.7,3.6,99.7,0.2,2.6,0.1,0.2,0.5,0.5,3604129.6,426410.4,289885.6,264051.6,1208480.0,0.0,1118332.0,100.0,14.3,14.3,15.5,13.8,15.5
19:35:3,4460.0851999999995,3157.5065438596494,4,5.7,94.7,3.6,96.4,93.9,4.0,96.0,0.0,0.0,0.0,0.0,0.8,2.5,16.0,0.9,9.8,0.0,0.9,2.6,0.4,3606649.2,423890.8,290049.2,264660.4,1210693.6,0.0,1118333.6,100.0,18.1,18.1,19.0,17.4,18.9
19:35:4,3283.4676,2877.386061538462,4,6.5,95.1,3.6,96.4,94.9,4.1,95.9,0.0,0.0,0.0,0.0,0.5,1.5,12.8,0.5,9.8,0.1,0.5,1.8,0.1,3603766.4,426773.6,289962.4,264111.2,1208121.6,0.0,1118348.0,100.0,13.5,13.5,14.3,13.5,14.7
19:35:5,3259.7506,2870.6477538461536,4,6.5,94.8,3.8,96.2,95.2,3.5,96.5,0.0,0.0,0.0,0.0,2.4,2.9,22.8,0.6,5.2,0.0,0.6,1.1,0.3,3606260.4,424279.6,290136.4,264102.8,1209889.2,0.0,1118592.0,100.0,12.7,12.7,13.3,12.7,13.7
19:36:0,3367.4294999999997,2885.9331029411755,4,6.8,94.9,4.0,96.0,94.9,3.7,96.3,0.0,0.0,0.0,0.0,40.6,3.2,205.5,0.4,4.9,0.0,0.4,1.1,0.5,3607923.2,422616.8,290228.4,264118.8,1211450.0,0.0,1118603.2,100.0,12.6,12.6,13.3,12.6,13.7
19:36:1,3312.187,2868.960704918032,4,6.1,93.6,3.4,96.6,92.8,3.8,96.2,0.0,0.0,0.0,0.0,0.6,2.8,15.6,0.8,7.8,0.0,0.8,2.0,0.5,3672964.8,357575.2,290338.4,264437.2,1276526.8,0.0,1118626.0,100.0,15.6,15.6,16.2,15.6,16.8
19:36:2,3380.50825,2859.3021363636362,4,6.6,95.5,2.9,97.1,94.7,4.0,96.0,0.0,0.0,0.0,0.0,3.2,4.4,33.6,1.3,6.3,0.1,1.3,2.0,1.0,3606491.2,424048.8,290331.2,264355.2,1209981.2,0.0,1118625.6,100.0,12.0,12.0,13.5,11.5,13.3
19:36:3,3326.27825,2870.1851250000004,4,6.4,94.8,3.7,96.3,93.3,4.3,95.7,0.0,0.0,0.0,0.0,34.4,3.5,175.5,0.9,7.3,0.0,0.9,1.2,0.5,3605826.4,424713.6,290430.0,264414.8,1209270.0,0.0,1118625.2,100.0,12.8,12.8,14.0,12.8,14.4
19:36:4,3299.0221,2865.5680746268663,4,6.7,94.7,3.7,96.3,94.9,3.7,96.3,0.0,0.0,0.0,0.0,0.5,1.9,11.6,0.8,7.0,0.0,0.8,1.8,0.3,3606685.2,423854.8,290501.2,264209.2,1209908.0,0.0,1118634.0,100.0,12.2,12.2,13.8,12.2,14.2
19:36:5,3386.8082,2868.0347014925364,4,6.7,94.3,3.9,96.1,95.1,3.7,96.3,0.0,0.0,0.0,0.0,27.6,3.0,137.2,0.8,8.9,0.0,0.8,2.0,0.5,3606967.6,423572.4,290552.0,264228.4,1210099.6,0.0,1118634.4,100.0,11.8,11.8,13.3,11.8,13.7
19:37:0,3300.7484999999997,2863.24971641791,4,6.7,95.0,3.3,96.7,94.7,4.0,96.0,0.0,0.0,0.0,0.0,0.5,1.9,11.6,1.0,7.0,0.0,1.0,2.0,0.4,3608140.4,422399.6,290708.0,264251.2,1211009.6,0.0,1118646.4,100.0,11.6,11.6,12.8,11.6,13.2
19:37:1,3308.9197999999997,2847.7347076923074,4,6.5,94.3,3.8,96.2,94.2,3.7,96.3,0.0,0.0,0.0,0.0,27.9,3.4,142.4,1.1,9.5,0.0,1.1,1.6,0.6,3607794.4,422745.6,290900.8,264708.0,1211212.0,0.0,1118661.6,100.0,11.6,11.6,13.4,11.6,13.7
