worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge, [DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,18:16:32,18:16:3,218.068,217.60000000000002,1,0.2,12.2,84.2,13.9,0.0,7.6,1.1,3.4,922105.6,82606.4,87811.6,54944.8,645780.4,0.0,79473.6,100.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,5.9,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,18:16:46,18:16:4,964.7583999999998,563.8619999999999,1,1.0,30.2,68.2,31.6,0.0,9.6,0.9,4.0,913692.4,91019.6,86897.6,56149.2,652094.8,0.0,71231.6,100.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,12.1,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.116,18:16:53,18:16:5,1783.9793999999993,666.3840689655173,2,2.9,65.4,29.5,69.6,0.0,9.2,0.4,9.6,924686.0,80026.0,87440.8,58316.4,663040.0,0.0,69188.8,100.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,25.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.46,18:17:02,18:17:0,498.3341999999985,240.82760824742252,3,9.7,82.9,11.9,86.3,0.0,164.0,4.1,8.9,914780.8,89931.2,87609.6,56960.4,660114.4,0.0,63522.0,100.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,32.4,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.46,18:17:12,18:17:1,437.55225000000013,236.11792567567562,3,14.8,96.7,1.1,98.9,0.0,106.4,0.6,0.5,914770.8,89941.2,87704.8,57110.4,658295.6,0.0,63638.8,100.0,0.0,0.0,38.9,0.0,0.0,0.0,0.0,0.0,38.9,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.46,18:17:23,18:17:2,2022.5875999999978,618.2633757575758,3,16.5,95.8,0.5,99.4,0.0,5.2,0.5,11.7,913812.8,90899.2,88188.0,57508.8,666353.2,0.0,57832.0,100.0,0.0,0.0,38.3,0.0,0.0,0.0,0.0,0.0,38.3,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.219,18:17:32,18:17:3,4885.971,1106.6188062827223,4,19.1,96.4,0.4,99.6,0.0,14.0,1.0,6.5,897144.8,107567.2,88145.6,57449.2,668952.4,0.0,44736.8,100.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,36.1,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.233,18:17:42,18:17:4,4671.104399999997,1074.0471339285712,5,22.4,96.5,0.6,99.4,0.0,124.8,0.8,2.1,904751.2,99960.8,88210.0,57441.2,676180.0,0.0,42200.0,100.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,36.2,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.230,18:17:52,18:17:5,3641.9833999999996,718.0320433212997,6,27.7,96.3,0.6,99.3,0.0,65.2,1.0,0.6,904839.6,99872.4,88229.6,57664.4,675689.6,0.0,42304.4,100.0,0.0,0.0,36.7,0.0,0.0,0.0,0.0,0.0,36.7,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.243,18:18:02,18:18:0,1045.9719000000168,418.5275873015873,7,31.5,96.5,0.6,99.4,0.0,9.6,1.0,0.4,906416.0,98296.0,88207.6,57892.0,677204.0,0.0,42284.8,100.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,36.2,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
