timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684266533609,276,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,337,133,41,41,http://193.225.250.30/io/1/dir_path/250,276,0,4
1684266536175,119,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,337,133,40,40,http://193.225.250.30/io/1/dir_path/250,119,0,4
1684266536174,120,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,337,133,40,40,http://193.225.250.30/io/1/dir_path/250,120,0,4
1684266537612,326,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,337,133,38,38,http://193.225.250.30/io/1/dir_path/250,326,0,5
1684266537613,341,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,337,133,37,37,http://193.225.250.30/io/1/dir_path/250,341,0,4
1684266537613,345,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,337,133,36,36,http://193.225.250.30/io/1/dir_path/250,345,0,4
1684266537612,392,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,337,133,35,35,http://193.225.250.30/io/1/dir_path/250,391,0,4
1684266537612,397,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,337,133,34,34,http://193.225.250.30/io/1/dir_path/250,397,0,4
1684266539981,613,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,337,133,33,33,http://193.225.250.30/io/1/dir_path/250,613,0,8
1684266539981,616,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,337,133,32,32,http://193.225.250.30/io/1/dir_path/250,616,0,9
1684266539981,618,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,337,133,31,31,http://193.225.250.30/io/1/dir_path/250,618,0,9
1684266539980,621,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,337,133,30,30,http://193.225.250.30/io/1/dir_path/250,621,0,4
1684266539982,623,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,337,133,29,29,http://193.225.250.30/io/1/dir_path/250,623,0,8
1684266540034,579,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,337,133,28,28,http://193.225.250.30/io/1/dir_path/250,579,0,4
1684266539982,657,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,337,133,27,27,http://193.225.250.30/io/1/dir_path/250,657,0,9
