worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.6,14:36:32,14:36:3,119.74439999999998,58.50601449275363,1,6.9,20.9,65.5,31.8,55.8,23.0,1165.8,0.7,0.9,2.7,17.2,1.5,12.3,0.2,1.8,2.4,12.1,1926061.2,109306.8,101997.2,58323.6,1471264.4,0.0,150942.8,100.0,764.3,764.3,777.8,764.3,777.8
192.168.0.6,14:36:40,14:36:4,112.01650000000001,73.99821874999996,1,9.6,43.5,26.1,71.4,63.0,23.0,1726.1,0.6,3.6,19.9,98.0,1.2,17.6,0.1,1.2,2.4,14.1,1927160.4,108207.6,101524.8,62283.6,1474959.2,0.0,152727.6,100.0,2093.2,2093.2,2322.5,2092.1,2321.5
192.168.0.6,14:36:50,14:36:5,198.6600999999998,132.5287575757576,4,9.9,19.9,65.2,34.7,4.5,0.0,89.8,0.2,0.6,2.1,12.4,0.8,8.5,0.0,1.0,1.8,1.7,1922920.8,112447.2,102053.2,56614.4,1469892.0,0.0,149732.0,100.0,991.8,991.8,1267.4,991.8,1267.5
192.168.0.6,14:37:00,14:37:0,176.41085,135.78728,2,10.0,36.7,35.0,64.9,2.0,0.0,90.9,0.5,0.6,2.0,13.6,0.7,13.0,0.0,0.9,1.3,0.8,1923272.0,112096.0,102107.6,57118.4,1469887.2,0.0,149590.8,100.0,2667.6,2667.6,3033.8,2667.6,3033.9
192.168.0.6,14:37:14,14:37:1,3047.3864,1415.8770722891568,1,8.3,56.3,0.5,99.5,0.0,0.0,0.0,0.0,10.5,8.4,77.6,1.1,8.3,0.1,1.1,1.9,0.4,1922829.2,112538.8,102823.2,58050.0,1467744.0,0.0,150241.6,100.0,3018.6,3018.6,6009.8,3018.6,6009.8
192.168.0.6,14:37:28,14:37:2,8009.5369,6258.008743243247,1,7.4,55.3,0.2,99.8,0.0,0.0,0.0,0.0,0.4,0.2,5.6,0.4,4.8,0.0,0.4,1.2,0.1,1926626.4,108741.6,103335.6,58316.0,1469146.4,0.0,150657.2,100.0,3024.9,3024.9,6028.9,3024.9,6029.5
192.168.0.6,14:37:40,14:37:3,9826.721099999999,9194.674677966103,1,5.9,53.3,0.2,99.8,0.0,0.0,0.0,0.0,2.8,2.8,27.2,0.9,10.5,0.1,0.9,1.8,0.2,1929328.8,106039.2,103514.0,58551.2,1470800.4,0.0,150637.6,100.0,3034.6,3034.6,6042.5,3034.1,6042.3
192.168.0.6,14:37:41,14:37:4,9740.195,9740.195,1,0.1,53.3,0.2,99.8,0.2,0.0,0.8,0.4,2.8,2.8,27.2,0.9,10.9,0.1,1.3,2.2,0.3,1929779.2,105588.8,103575.6,58988.4,1471199.6,0.0,150628.8,100.0,2938.0,2938.0,5847.9,2937.5,5847.9
192.168.0.6,14:38:01,14:37:5,11215.007,10650.413978723403,1,4.7,51.4,0.1,99.9,0.0,0.0,0.0,0.0,0.6,1.6,12.0,0.9,8.0,0.2,0.9,2.0,0.2,1927098.4,108269.6,103450.8,58708.0,1469214.4,0.0,150650.8,100.0,2982.7,2982.7,5942.8,2982.7,5943.6
192.168.0.6,14:38:12,14:38:0,12739.55075,11958.431304347825,1,4.6,53.7,0.1,99.9,0.0,0.0,0.0,0.0,0.6,2.3,14.0,0.9,7.0,0.0,0.9,1.8,0.4,1931129.2,104238.8,103568.0,58882.8,1472181.6,0.0,150859.6,100.0,2948.4,2948.4,5883.8,2948.4,5884.5
