time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
20:35:3,1987.3872,1359.2280744985687,6,34.9,96.8,1.0,99.0,0.0,114.8,0.8,0.3,907556.4,97155.6,83865.6,47610.4,701685.6,0.0,27807.2,100.0,0.0,0.0,33.2,0.0,0.0,0.0,0.0,0.0,33.2,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:35:4,1489.531,685.7977063711911,7,36.1,95.9,2.5,97.5,0.0,11.6,0.9,0.3,907184.4,97527.6,83814.8,47626.8,701580.0,0.0,27800.8,100.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,31.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:35:5,218.962,167.5116257668712,7,32.6,87.1,11.6,88.3,0.0,9.2,1.0,0.2,906887.2,97824.8,83824.0,47644.8,701441.2,0.0,27803.2,100.0,0.0,0.0,31.9,0.0,0.0,0.0,0.0,0.0,31.9,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:36:0,209.62675,161.31326595744687,6,28.2,86.2,12.7,87.3,0.0,13.6,0.9,0.2,906895.2,97816.8,83826.0,47656.8,701371.2,0.0,27809.2,100.0,0.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,31.2,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:36:1,211.43715,160.8659314516128,5,24.8,87.0,12.0,88.0,0.0,110.4,1.0,0.5,907145.6,97566.4,83874.4,47708.8,701410.0,0.0,27828.0,100.0,0.0,0.0,31.3,0.0,0.0,0.0,0.0,0.0,31.3,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:36:2,216.4154,162.68512077294685,4,20.7,83.1,15.3,84.7,0.0,9.2,0.9,0.2,907158.4,97553.6,83880.8,47744.8,701467.6,0.0,27830.8,100.0,0.0,0.0,30.9,0.0,0.0,0.0,0.0,0.0,30.9,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:36:3,283.07315000000006,170.02396428571433,3,16.8,87.8,10.9,89.1,0.0,88.5,1.3,0.4,906496.8,98215.2,83893.2,47758.0,700782.8,0.0,27960.8,100.0,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,29.7,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:36:4,286.05799999999994,171.46027131782935,2,12.9,93.4,5.4,94.6,0.0,8.8,0.8,0.2,906512.4,98199.6,83882.4,47771.6,700777.6,0.0,27956.0,100.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,33.6,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:36:5,1851.8096,1033.5041298701296,1,7.7,96.8,1.0,99.0,0.0,82.3,0.8,0.3,907196.4,97515.6,84076.8,48138.8,700785.6,0.0,28091.6,100.0,0.0,0.0,37.2,0.0,0.0,0.0,0.0,0.0,37.2,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:37:0,2124.6475,732.196823529412,2,5.1,73.2,25.5,74.5,0.0,85.9,0.8,0.3,907414.0,97298.0,83983.6,48149.6,701238.0,0.0,28092.4,100.0,0.0,0.0,24.8,0.0,0.0,0.0,0.0,0.0,24.8,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:37:1,222.52145,178.43862500000003,3,2.4,44.0,54.7,45.3,0.0,6.4,0.7,0.3,906809.2,97902.8,83952.8,47819.6,700799.2,0.0,28108.0,100.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,15.2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:37:2,190.19399999999993,159.40825999999998,2,5.0,78.5,20.1,79.9,0.0,6.0,0.8,0.2,908056.0,96656.0,84027.6,48490.8,701954.4,0.0,28111.6,100.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,26.8,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:37:3,1814.7335999999998,816.1764533333336,1,7.5,97.4,0.8,99.2,0.0,119.2,0.9,0.3,908157.2,96554.8,84090.4,48548.0,701680.8,0.0,28112.8,100.0,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,40.6,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:37:4,3569.136,1723.437485148515,2,10.1,96.6,0.9,99.1,0.0,75.4,1.3,1.7,911462.8,93249.2,84191.6,48809.2,704626.0,0.0,28112.8,100.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:37:5,2401.2435999999993,1257.034878980891,3,15.7,96.4,0.9,99.1,0.0,10.4,1.0,0.3,912675.6,92036.4,84184.4,49612.8,705820.8,0.0,28116.0,100.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,0.0,34.4,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:38:0,985.7487999999996,370.41382926829255,4,20.5,96.7,1.5,98.5,0.0,10.0,1.4,0.2,908368.8,96343.2,84111.2,48257.6,701927.2,0.0,28119.2,100.0,0.0,0.0,33.2,0.0,0.0,0.0,0.0,0.0,33.2,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:38:1,352.18114999999995,238.09262184873938,4,23.8,98.4,0.0,100.0,0.0,100.8,1.6,0.4,908626.4,96085.6,84147.6,48622.0,702278.8,0.0,28240.8,100.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,36.1,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:38:2,1006.0766999999997,547.8377558139532,4,25.8,97.5,0.7,99.3,0.0,6.0,0.8,0.2,909470.4,95241.6,84158.4,48686.4,702814.0,0.0,28242.8,100.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0,0.0,37.6,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:38:3,1472.644,1022.801993265993,5,29.7,96.9,0.8,99.2,0.0,10.0,0.8,0.2,909086.8,95625.2,84304.0,48286.0,702147.6,0.0,28253.2,100.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,32.4,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:38:4,1575.6322999999998,1000.1832997118162,6,34.7,96.1,0.9,99.1,0.0,16.8,1.0,0.2,909615.6,95096.4,84310.0,48656.8,702643.2,0.0,28249.6,100.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,36.1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
