worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,20:07:33,20:07:3,170.4866,122.84500000000001,1,0.4,9.8,69.9,15.9,112.5,128.4,3012.8,0.6,8.1,1.0,40.7,0.4,8.2,0.0,1.0,1.2,22.9,935960.0,68752.0,88831.2,54914.0,727424.8,0.0,42991.2,100.0,182.8,182.8,182.9,182.3,182.4
192.168.0.170,20:07:42,20:07:4,173.23784999999995,100.9065,3,1.0,9.5,69.5,15.5,121.6,42.0,3264.1,1.3,14.6,2.8,74.0,0.6,14.0,0.0,1.6,1.3,23.6,927408.4,77303.6,88732.8,47587.6,725717.6,0.0,37337.2,100.0,131.1,131.1,131.0,131.1,131.1
192.168.0.170,20:07:51,20:07:5,76.25155,69.3508,1,1.0,9.7,76.1,15.7,61.4,0.0,1545.4,0.7,29.2,2.8,136.7,0.4,11.2,0.0,0.9,1.0,13.8,920996.8,83715.2,88647.2,42023.2,724221.6,0.0,34854.0,100.0,235.0,235.0,235.0,235.0,235.1
192.168.0.170,20:08:01,20:08:0,169.676,103.22581818181817,1,1.1,8.6,79.8,14.4,64.9,25.3,1449.3,1.3,0.2,1.7,7.6,0.5,17.1,0.1,1.5,1.6,10.3,913211.2,91500.8,88707.6,38244.0,723113.6,0.0,28973.2,100.0,264.9,264.9,284.9,264.9,285.0
192.168.0.170,20:08:11,20:08:1,95.18004999999997,72.21439999999998,1,1.0,9.5,82.2,16.3,20.8,5.9,693.2,0.6,19.0,2.2,92.2,0.8,8.6,0.0,0.5,0.5,4.8,918262.8,86449.2,88742.8,39842.8,724387.2,0.0,28122.8,100.0,259.4,259.4,260.1,259.4,260.2
192.168.0.170,20:08:21,20:08:2,109.47149999999999,81.13472727272728,4,1.1,6.6,86.3,10.5,33.2,19.0,847.0,0.9,0.4,1.9,9.2,0.8,25.4,0.0,1.7,2.1,6.5,917928.4,86783.6,88771.6,38522.8,723046.8,0.0,26178.8,100.0,105.8,105.8,105.6,105.8,105.7
192.168.0.170,20:08:31,20:08:3,85.82815,73.17050000000002,1,1.0,9.5,79.0,14.8,50.3,0.0,1064.7,1.4,14.7,2.6,72.8,1.2,14.2,0.2,2.1,1.7,10.7,922592.8,82119.2,88673.2,42089.6,723617.6,0.0,30600.4,100.0,226.7,226.7,234.5,226.2,234.1
192.168.0.170,20:08:41,20:08:4,157.3286,92.24314285714286,1,1.4,11.8,75.7,18.9,62.1,21.3,1757.5,0.4,15.2,2.2,72.8,1.0,9.2,0.0,1.4,1.7,11.7,917206.0,87506.0,88739.6,42935.6,723194.4,0.0,31123.2,100.0,388.5,388.5,388.2,388.5,388.3
192.168.0.170,20:08:51,20:08:5,153.55670000000003,81.4439,1,2.0,14.6,69.9,24.1,73.3,0.0,1784.3,0.9,19.4,1.6,89.5,2.0,14.1,0.1,2.8,3.6,14.0,914417.2,90294.8,88648.0,41182.0,723956.0,0.0,28324.8,100.0,441.7,441.7,512.6,441.7,512.7
192.168.0.170,20:09:02,20:09:0,112.24950000000003,75.21900000000001,2,2.0,8.5,78.8,14.5,61.9,42.9,1562.7,1.1,14.7,2.1,70.8,0.8,20.3,0.1,1.8,1.8,12.5,911456.8,93255.2,88760.4,40329.6,723008.4,0.0,27540.4,100.0,265.6,265.6,275.4,265.6,275.4
192.168.0.170,20:09:11,20:09:1,104.18965,71.54504999999999,1,2.0,12.4,68.5,23.2,76.1,72.6,2074.6,1.3,14.7,1.7,69.2,0.8,23.1,0.1,1.6,1.6,16.2,909945.6,94766.4,88539.2,36989.2,723634.4,0.0,26128.4,100.0,497.2,497.2,503.6,497.2,503.7
192.168.0.170,20:09:21,20:09:2,119.38769999999998,77.39342857142857,3,2.8,12.3,77.3,18.1,47.9,3.0,1618.4,0.8,19.6,1.6,93.8,0.4,18.7,0.0,0.7,0.9,11.0,922907.6,81804.4,88779.6,40902.8,724317.6,0.0,35114.8,100.0,238.0,238.0,285.8,238.0,285.9
192.168.0.170,20:09:31,20:09:3,93.96074999999998,75.63186842105266,2,3.8,13.1,72.3,21.7,63.4,0.0,1449.7,1.1,15.4,3.1,77.5,0.8,10.3,0.0,1.0,0.8,11.4,921962.4,82749.6,89000.8,41470.0,723987.2,0.0,33575.2,100.0,491.3,491.3,492.4,490.8,492.0
192.168.0.170,20:09:41,20:09:4,107.51035000000002,79.60527272727273,5,4.4,9.6,79.1,14.9,57.1,16.9,1560.7,0.7,0.4,1.7,8.4,1.1,12.1,0.2,1.8,1.9,11.4,917461.2,87250.8,88803.2,40939.2,724111.6,0.0,34743.6,100.0,246.0,246.0,259.7,246.0,259.8
192.168.0.170,20:09:51,20:09:5,84.6955,75.34367307692307,2,5.2,15.0,69.1,24.3,55.6,73.1,1510.4,0.6,0.4,1.5,7.6,1.2,9.9,0.1,1.8,2.3,13.1,911510.8,93201.2,88742.4,35284.8,724492.8,0.0,25816.8,100.0,615.5,615.5,616.8,615.5,616.9
192.168.0.170,20:10:01,20:10:0,87.57894999999995,74.68056666666668,1,6.0,27.3,52.3,46.5,22.0,7.5,793.9,1.2,32.4,2.5,149.6,0.8,17.2,0.1,1.7,1.8,4.7,913915.2,90796.8,88974.4,35942.4,722732.8,0.0,25386.8,100.0,1494.4,1494.4,1520.4,1494.4,1520.5
192.168.0.170,20:10:11,20:10:1,135.73679999999996,82.23169117647058,2,6.8,16.4,67.3,29.3,45.2,48.4,1133.5,1.0,0.4,1.4,7.2,0.8,13.9,0.1,1.4,1.4,9.6,906185.2,98526.8,88762.4,33357.2,723958.4,0.0,24035.2,100.0,872.9,872.9,902.2,872.9,902.4
192.168.0.170,20:10:21,20:10:2,96.80844999999992,74.74556410256412,4,7.8,15.8,74.4,24.3,16.4,6.2,516.1,0.8,0.4,1.2,6.4,0.8,15.4,0.0,1.0,1.0,4.2,914804.4,89907.6,89256.0,35174.4,722878.8,0.0,27383.2,100.0,511.5,511.5,542.4,511.5,542.5
192.168.0.170,20:10:31,20:10:3,109.49959999999999,73.18456470588237,7,8.5,9.4,80.1,15.5,51.1,3.0,1340.0,1.1,33.5,3.2,160.1,0.4,8.0,0.0,0.7,0.4,8.8,917858.0,86854.0,89069.6,39786.0,724282.0,0.0,30902.4,100.0,283.0,283.0,337.2,282.5,336.8
192.168.0.170,20:10:42,20:10:4,102.32119999999996,73.36451612903227,4,9.3,13.3,69.1,25.3,86.5,64.6,1881.3,0.6,14.6,1.5,68.4,0.5,8.8,0.1,1.1,1.1,15.3,915524.4,89187.6,88966.4,39729.6,726088.8,0.0,29721.2,100.0,578.7,578.7,598.7,578.7,598.7
192.168.0.170,20:10:52,20:10:5,94.68299999999992,74.99358585858589,7,9.9,12.6,63.3,21.8,129.9,73.9,4012.9,1.7,15.0,2.6,74.4,0.8,27.8,0.1,2.0,1.7,26.1,926173.6,78538.4,89391.2,41344.0,724884.4,0.0,37667.2,100.0,405.0,405.0,405.2,405.0,405.3
192.168.0.170,20:11:01,20:11:0,98.40905,71.03542999999999,5,10.0,12.1,69.0,20.9,85.5,74.9,2379.7,0.8,0.4,1.8,8.8,0.8,15.6,0.1,1.6,1.9,17.4,918393.6,86318.4,89337.2,39858.8,724302.0,0.0,31669.6,100.0,460.8,460.8,491.4,460.8,491.5
192.168.0.170,20:11:11,20:11:1,97.9878,72.05284999999998,8,10.0,11.9,75.9,18.9,50.2,22.3,1196.4,0.4,0.4,1.2,6.4,0.8,8.0,0.2,1.2,1.6,11.5,919109.6,85602.4,89714.4,37593.2,724394.0,0.0,29951.2,100.0,352.1,352.1,355.9,352.1,356.0
192.168.0.170,20:11:21,20:11:2,88.03365,70.85257,9,10.0,10.8,77.8,16.7,44.3,46.2,1151.2,0.4,0.4,1.2,6.4,0.9,8.2,0.1,1.3,1.7,10.0,911686.4,93025.6,89657.6,34126.8,724703.6,0.0,24292.8,100.0,285.3,285.3,293.1,285.3,293.2
192.168.0.170,20:11:31,20:11:3,82.22014999999998,70.02061999999998,9,10.0,10.6,77.9,16.9,55.3,0.0,1964.1,1.6,34.3,3.0,166.3,1.8,26.5,0.2,1.7,1.9,9.0,923458.8,81253.2,90352.4,42147.2,722573.6,0.0,32745.6,100.0,284.7,284.7,285.4,284.2,285.0
192.168.0.170,20:11:41,20:11:4,84.58999999999999,71.72494,7,10.0,10.6,77.2,17.1,52.2,21.6,1481.7,0.6,0.4,1.7,8.4,0.8,13.5,0.1,1.0,1.2,11.3,922248.4,82463.6,89861.2,44217.6,725064.4,0.0,30845.6,100.0,349.4,349.4,363.1,349.4,363.2
192.168.0.170,20:11:51,20:11:5,82.00835,71.41618999999999,6,10.0,12.3,74.8,19.1,52.4,50.0,1495.7,0.4,0.4,1.2,6.4,0.8,8.9,0.2,1.2,1.6,11.2,913487.2,91224.8,89554.0,40068.0,724674.0,0.0,24786.8,100.0,411.9,411.9,413.7,411.9,413.8
192.168.0.170,20:12:00,20:12:0,81.90344999999999,72.68034000000003,3,10.0,16.2,65.1,28.0,63.8,25.8,1632.1,0.9,0.2,1.1,5.2,0.5,10.5,0.0,1.0,0.9,12.9,907857.2,96854.8,89715.2,33139.2,724946.8,0.0,24602.8,100.0,727.9,727.9,747.9,727.9,748.0
192.168.0.170,20:12:10,20:12:1,77.89304999999999,71.86551999999999,1,10.0,37.0,31.4,67.7,13.9,8.6,413.6,0.4,25.8,2.2,122.8,0.8,7.5,0.1,0.6,0.8,2.5,911216.4,93495.6,89710.4,34932.4,722512.0,0.0,25747.6,100.0,2173.0,2173.0,2469.9,2173.0,2470.0
192.168.0.170,20:12:20,20:12:2,88.46135,72.71048,1,10.0,38.0,31.4,68.4,5.5,0.0,309.3,0.5,0.4,1.8,8.8,0.8,20.1,0.0,1.3,2.0,1.4,914319.2,90392.8,89775.2,36892.0,722796.0,0.0,27851.2,100.0,2387.9,2387.9,2572.5,2387.9,2572.6
192.168.0.170,20:12:30,20:12:3,134.30169999999998,78.62544117647057,3,10.2,16.9,68.5,30.5,29.4,7.5,968.3,1.2,0.9,1.6,9.6,0.9,22.8,0.0,2.0,2.6,3.7,923795.6,80916.4,90378.4,41412.0,722956.8,0.0,33231.2,100.0,954.8,954.8,982.1,954.3,981.7
192.168.0.170,20:12:40,20:12:4,79.85249999999999,68.67399099099102,4,11.1,13.2,76.6,22.7,5.6,0.0,304.1,0.6,20.6,3.3,103.5,0.6,6.1,0.2,0.9,1.3,2.8,929040.0,75672.0,90378.4,44674.8,723044.8,0.0,37342.4,100.0,727.8,727.8,749.4,727.8,749.5
192.168.0.170,20:12:50,20:12:5,96.52939999999994,73.93692682926826,3,12.3,16.0,68.4,30.9,8.0,0.0,514.2,0.5,16.2,2.3,81.2,0.8,18.6,0.1,1.3,1.6,1.8,931500.8,73211.2,90460.4,46161.6,723142.0,0.0,39629.2,100.0,977.3,977.3,1032.9,977.3,1033.0
192.168.0.170,20:13:00,20:13:0,74.0965,62.191183206106885,1,13.1,43.7,22.1,77.1,11.8,0.0,507.0,0.5,9.1,2.4,48.2,0.8,7.2,0.1,0.9,1.4,3.3,922411.2,82300.8,89035.2,45656.8,723412.0,0.0,35195.6,100.0,1854.9,1854.9,3212.1,1854.9,3212.3
192.168.0.170,20:13:10,20:13:1,141.12124999999997,76.8642222222222,1,12.6,43.0,23.9,76.0,14.7,0.0,385.4,0.5,0.4,1.2,6.4,0.8,8.0,0.0,1.3,1.8,3.6,926090.4,78621.6,89230.8,47371.6,723778.8,0.0,36070.0,100.0,1633.4,1633.4,3201.6,1633.4,3201.7
192.168.0.170,20:13:22,20:13:2,152.6076999999995,80.0886870748299,4,14.7,20.3,59.2,34.3,71.9,92.3,1622.9,0.6,22.2,1.6,103.6,0.8,9.9,0.2,1.3,1.7,16.1,931800.0,72912.0,89338.8,50023.2,725651.6,0.0,39268.8,100.0,952.5,952.5,974.0,952.5,974.0
192.168.0.170,20:13:30,20:13:3,93.51565,72.3305625,6,16.0,17.3,59.3,30.8,107.3,108.7,2839.0,1.1,23.7,2.5,113.2,0.9,12.1,0.0,1.6,1.7,23.2,929141.2,75570.8,89868.0,47863.6,726969.2,0.0,35939.2,100.0,748.5,748.5,773.5,748.0,773.3
192.168.0.170,20:13:40,20:13:4,89.59115,70.82071764705886,4,17.0,17.1,66.6,31.9,14.0,0.2,596.8,1.1,0.4,1.2,6.4,0.8,18.7,0.1,1.9,1.7,3.0,931592.4,73119.6,89917.6,48391.6,724116.8,0.0,33754.8,100.0,1044.3,1044.3,1082.7,1044.3,1082.8
192.168.0.170,20:13:50,20:13:5,77.67674999999998,67.16169444444444,2,18.0,33.4,38.8,60.6,16.7,0.0,339.7,0.9,0.4,1.4,9.6,0.4,5.8,0.0,0.7,0.8,3.5,931668.8,73043.2,89303.6,50034.0,724201.6,0.0,36712.0,100.0,2119.7,2119.7,2214.1,2119.7,2214.2
192.168.0.170,20:14:00,20:14:0,155.6305,78.94853723404256,1,18.8,50.2,8.1,91.5,13.5,0.0,375.5,0.4,22.2,2.7,109.7,1.0,7.1,0.1,1.3,2.3,3.5,927450.0,77262.0,89466.8,47547.2,724718.4,0.0,34997.2,100.0,2530.7,2530.7,4643.3,2530.7,4643.4
192.168.0.170,20:14:10,20:14:1,113.3854499999997,70.58794444444439,2,19.8,36.8,32.3,67.6,9.9,0.0,272.5,0.5,0.4,1.5,7.6,0.8,6.0,0.0,1.0,1.3,1.9,930743.2,73968.8,89443.2,49031.2,725162.0,0.0,36282.4,100.0,2400.4,2400.4,2732.8,2400.4,2732.9
192.168.0.170,20:14:22,20:14:2,96.95774999999999,70.06603499999997,4,20.0,24.2,52.7,42.2,71.3,62.2,1495.1,0.9,22.4,0.7,102.3,0.4,19.4,0.0,0.9,1.3,15.8,931245.6,73466.4,89522.4,49303.6,727053.6,0.0,36088.0,100.0,1229.7,1229.7,1290.6,1229.7,1290.6
192.168.0.170,20:14:30,20:14:3,96.80544999999995,70.08909000000001,2,20.0,38.7,23.2,69.2,116.1,76.7,2708.9,1.5,22.6,2.5,110.3,1.2,17.3,0.0,1.5,1.3,22.9,928721.6,75990.4,90021.6,44586.8,728428.0,0.0,33403.6,100.0,1836.0,1836.0,2207.6,1835.5,2207.2
192.168.0.170,20:14:40,20:14:4,189.9271999999999,101.53039896373062,1,19.3,52.1,5.4,93.9,36.7,9.1,1128.5,0.4,0.4,1.2,6.4,0.8,8.5,0.1,1.2,1.5,6.0,916425.6,88286.4,89210.4,39267.2,725862.0,0.0,33090.0,100.0,2400.5,2400.5,4705.2,2400.5,4705.3
192.168.0.170,20:14:50,20:14:5,226.44575,114.67692708333333,1,19.2,51.9,4.3,95.7,18.2,0.0,789.6,0.6,21.2,2.7,103.6,0.9,16.9,0.0,1.1,1.3,3.6,922397.2,82314.8,89380.4,41769.6,726343.2,0.0,31353.2,100.0,2750.5,2750.5,4913.7,2750.5,4913.8
192.168.0.170,20:15:00,20:15:0,244.86345,103.3031907216495,1,19.4,51.8,6.8,93.2,5.5,0.0,205.8,0.9,0.4,1.2,6.4,0.9,14.1,0.0,1.8,2.1,1.3,928105.2,76606.8,89486.8,44700.0,726855.6,0.0,34859.2,100.0,2552.5,2552.5,4991.2,2552.5,4991.3
192.168.0.170,20:15:10,20:15:1,82.85839999999993,69.38905583756343,2,19.7,37.7,31.8,68.2,7.6,0.0,214.6,0.4,0.4,1.2,6.4,0.8,9.4,0.0,1.2,1.6,1.6,930220.8,74491.2,89436.0,46098.0,727284.4,0.0,36491.2,100.0,2490.0,2490.0,2623.0,2490.0,2623.1
192.168.0.170,20:15:20,20:15:2,196.74069999999992,109.91467171717176,1,19.8,54.9,4.7,95.3,4.2,0.0,194.5,0.5,0.5,1.4,8.4,1.1,11.5,0.1,1.3,1.7,1.1,933693.6,71018.4,89566.4,47646.0,727769.6,0.0,38516.4,100.0,2785.7,2785.7,4886.3,2785.7,4886.4
192.168.0.170,20:15:30,20:15:3,229.759,142.0828201058201,1,18.9,53.2,2.0,97.9,28.3,0.0,673.8,1.1,25.2,2.7,122.4,0.8,9.7,0.1,1.4,1.4,4.4,924186.0,80526.0,88827.6,44822.4,728274.4,0.0,29915.2,100.0,2765.6,2765.6,4887.9,2765.1,4887.6
192.168.0.170,20:15:40,20:15:4,205.08659999999995,110.62244329896905,1,19.4,51.0,4.3,95.7,10.9,0.0,280.8,0.6,0.4,1.2,6.4,0.8,5.8,0.0,1.1,1.4,2.2,929226.4,75485.6,88953.6,46888.0,728868.4,0.0,31148.8,100.0,2847.0,2847.0,4956.6,2847.0,4956.7
192.168.0.170,20:15:51,20:15:5,97.59004999999993,73.53087499999998,4,20.0,20.5,57.2,39.3,53.1,23.2,1710.5,0.6,20.6,2.7,100.8,0.9,21.7,0.1,1.5,2.1,10.7,929419.2,75292.8,89005.6,52211.6,729812.0,0.0,41224.0,100.0,1259.1,1259.1,1289.9,1259.1,1289.9
192.168.0.170,20:16:00,20:16:0,85.99029999999999,69.3897238095238,3,21.0,27.0,47.6,49.6,49.5,17.7,1487.7,0.6,0.2,1.1,5.2,0.4,11.0,0.0,1.0,1.6,8.9,932256.0,72456.0,88773.6,52305.2,729518.4,0.0,38717.6,100.0,1614.5,1614.5,1750.0,1614.5,1750.1
