worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,19:51:13,19:51:1,680.837,399.8235714285714,1,0.7,31.1,53.0,35.1,123.4,106.5,3085.8,0.9,0.8,0.9,8.8,1.1,15.1,0.2,1.7,2.1,23.4,936448.4,68263.6,90234.0,52893.6,719662.4,0.0,46051.6,100.0,8.5,8.5,7.7,8.5,7.7
192.168.0.170,19:51:22,19:51:2,434.306,300.06780000000003,3,1.0,20.0,61.6,25.0,154.0,94.3,4056.1,1.6,16.3,2.2,78.8,0.7,15.4,0.3,1.9,1.6,26.6,931919.6,72792.4,89352.0,47211.6,720650.0,0.0,41844.0,100.0,5.9,5.9,5.8,5.9,5.9
192.168.0.170,19:51:32,19:51:3,288.35185,241.50383333333335,5,1.2,8.0,85.4,9.8,36.3,18.2,839.2,0.4,0.4,1.6,8.0,0.8,8.7,0.0,1.2,1.7,7.8,919558.8,85153.2,89578.4,39995.2,719389.2,0.0,32652.0,100.0,4.1,4.1,4.0,4.1,4.1
192.168.0.170,19:51:41,19:51:4,289.1778,254.99388888888885,2,0.9,23.6,65.3,28.6,55.1,15.5,1278.9,0.8,0.4,1.0,5.6,0.9,11.6,0.1,1.3,1.5,12.2,922683.2,82028.8,89336.0,39788.4,726306.8,0.0,27524.8,100.0,6.6,6.6,6.3,6.6,6.4
192.168.0.170,19:51:52,19:51:5,357.62519999999995,254.72038461538463,3,1.3,18.0,71.0,20.9,84.7,114.7,2352.8,1.7,0.4,2.3,10.8,0.8,28.2,0.1,1.8,1.8,14.5,922921.2,81790.8,89770.8,41547.2,725756.0,0.0,27466.0,100.0,5.5,5.5,5.2,5.0,4.7
192.168.0.170,19:52:02,19:52:0,371.06295000000006,248.24950000000004,6,2.0,14.1,77.5,16.4,65.1,26.3,1406.5,1.3,18.0,1.2,82.0,0.4,14.6,0.1,1.6,2.1,12.0,921581.2,83130.8,89640.8,39301.2,726546.4,0.0,30011.6,100.0,4.9,4.9,4.8,4.9,4.9
192.168.0.170,19:52:12,19:52:1,427.34720000000016,269.69374999999997,9,2.0,11.7,76.9,15.4,98.5,57.9,2341.2,1.1,0.4,1.6,8.0,0.7,14.2,0.0,1.5,1.3,14.9,920518.8,84193.2,90066.4,35384.4,726136.8,0.0,27673.2,100.0,4.6,4.6,4.4,4.6,4.5
192.168.0.170,19:52:22,19:52:2,312.3250000000001,236.24499999999998,7,2.0,11.7,76.8,15.9,73.1,33.9,2034.1,1.0,17.7,1.1,82.8,0.7,25.1,0.1,1.6,1.7,14.3,916866.8,87845.2,89922.0,35460.0,725178.8,0.0,26616.4,100.0,4.3,4.3,4.2,4.3,4.3
192.168.0.170,19:52:32,19:52:3,265.21605000000005,231.80964999999998,9,2.0,12.5,76.0,15.5,78.1,2.9,1777.4,1.5,13.4,2.0,66.0,0.8,19.9,0.1,2.2,1.9,14.9,917791.6,86920.4,89710.0,35444.8,725498.4,0.0,28793.2,100.0,4.5,4.5,4.5,4.5,4.6
192.168.0.170,19:52:41,19:52:4,265.96009999999995,220.47347368421052,9,1.9,11.4,76.6,14.9,80.6,11.2,1870.2,1.1,13.4,2.3,67.2,0.8,15.9,0.0,1.4,1.5,15.0,913918.4,90793.6,90358.0,35057.2,725442.4,0.0,25210.0,100.0,4.0,4.0,4.0,4.0,4.1
192.168.0.170,19:52:51,19:52:5,259.6721,221.90529166666667,7,2.4,13.0,79.5,15.7,46.2,4.0,978.4,1.9,28.1,2.1,131.4,1.0,12.6,0.1,1.9,0.9,8.4,916622.4,88089.6,89744.8,36928.8,725478.0,0.0,26214.8,100.0,5.6,5.6,5.2,5.1,4.8
192.168.0.170,19:53:02,19:53:0,272.86345,219.89981249999997,5,3.2,20.8,72.4,23.3,47.5,41.6,1082.8,0.6,0.4,1.6,8.0,0.8,10.6,0.0,1.4,1.8,11.2,914614.8,90097.2,90159.2,35885.2,724569.6,0.0,25706.0,100.0,5.9,5.9,5.6,5.9,5.6
192.168.0.170,19:53:11,19:53:1,252.76729999999998,205.170325,4,4.0,30.9,61.2,33.1,50.7,23.3,1161.5,0.6,0.4,1.0,5.6,0.8,12.8,0.1,1.4,1.7,12.4,917074.0,87638.0,90282.0,34827.6,725980.8,0.0,24561.6,100.0,8.6,8.6,8.1,8.6,8.2
192.168.0.170,19:53:21,19:53:2,262.5023,202.50193750000003,2,4.8,56.9,35.9,59.6,65.8,0.0,1816.8,1.8,31.6,2.3,145.8,0.5,28.7,0.0,1.6,2.1,12.2,919834.0,84878.0,90222.0,37054.4,725542.4,0.0,28328.4,100.0,17.2,17.2,16.1,17.2,16.2
192.168.0.170,19:53:31,19:53:3,313.8446999999999,217.98094545454546,5,5.5,38.0,57.1,40.7,51.2,21.8,1200.0,1.6,14.2,2.1,69.4,0.6,15.8,0.0,1.6,1.4,10.7,920505.6,84206.4,90299.2,38970.8,725324.8,0.0,26820.4,100.0,11.4,11.4,10.4,11.4,10.5
192.168.0.170,19:53:42,19:53:4,266.6396,221.176234375,8,6.4,25.3,66.3,28.0,55.3,53.0,1397.3,0.6,0.4,1.5,7.6,0.8,8.0,0.0,1.0,1.4,12.1,915029.2,89682.8,90506.4,37136.8,725257.6,0.0,26173.6,100.0,6.7,6.7,6.5,6.7,6.5
