time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
19:41:1,1658.115,1141.6797458432309,7,42.1,97.0,0.9,99.1,0.0,6.4,0.8,0.4,896679.6,108032.4,82706.0,55753.6,670756.4,0.0,42290.8,100.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,43.8,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:41:2,1680.706,1150.5553631961263,7,41.3,96.4,0.9,99.1,0.0,101.2,1.3,0.8,900724.8,103987.2,82845.6,56291.2,674088.4,0.0,42592.4,100.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,43.4,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:41:3,1807.789,1206.3273813131318,7,39.6,96.9,0.8,99.2,0.0,6.0,0.8,1.4,899848.0,104864.0,82871.2,56080.0,673011.2,0.0,42647.6,100.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,41.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:41:4,1703.0493999999997,1148.6288481927702,7,41.5,97.1,0.9,99.1,0.0,10.0,0.9,0.4,900392.8,104319.2,82943.2,56551.6,673252.0,0.0,42821.6,100.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,43.8,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:42:4,1695.8865,1149.8910927152317,7,15.1,6.8,92.4,7.4,0.0,8.0,0.8,0.4,892584.4,112127.6,82642.0,56652.8,666080.0,0.0,42816.8,100.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,3.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:42:5,284.0077,259.642,7,0.2,11.9,86.6,13.1,0.0,56.0,0.9,0.7,894614.0,110098.0,82666.8,56703.2,668081.6,0.0,42810.8,100.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,5.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:43:3,214.80270000000002,209.616,7,0.3,3.0,96.5,3.2,0.0,51.6,1.1,0.4,890500.0,114212.0,82597.2,56023.6,664150.8,0.0,42998.0,100.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:43:4,420.42139999999995,272.54539130434785,7,2.3,12.9,85.8,14.2,0.0,6.0,0.9,0.2,893934.4,110777.6,82713.6,56792.4,666956.8,0.0,43116.8,100.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,5.9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:43:5,282.48514999999975,189.0806515151516,7,13.2,76.0,21.1,78.9,0.0,88.2,1.0,1.5,897087.6,107624.4,82813.2,57163.6,670055.6,0.0,43099.6,100.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,33.5,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:44:0,238.34939999999995,175.55303265306125,7,24.5,90.2,8.4,91.5,0.0,10.0,0.8,0.7,898566.8,106145.2,82778.8,56766.0,671381.6,0.0,43152.8,100.0,0.0,0.0,39.3,0.0,0.0,0.0,0.0,0.0,39.3,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:44:1,284.70399999999995,188.96919469026545,7,33.9,96.8,1.6,98.4,0.0,64.4,1.1,0.5,897204.8,107507.2,82838.4,56607.6,669716.0,0.0,43223.6,100.0,0.0,0.0,45.4,0.0,0.0,0.0,0.0,0.0,45.4,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:44:2,345.37699999999967,191.87511724137923,7,14.5,81.4,17.0,83.0,0.0,8.0,0.8,0.3,897257.6,107454.4,82832.4,56620.8,669686.0,0.0,43251.6,100.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,36.2,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:44:3,216.81854999999993,173.7432666666667,7,3.0,52.5,45.6,54.2,0.0,8.0,1.1,0.3,898251.6,106460.4,82930.4,56939.2,670373.6,0.0,43406.0,100.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,21.2,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:46:0,374.21099999999996,222.80540000000002,7,0.5,6.2,92.0,7.8,0.0,2.8,0.8,0.2,896191.6,108520.4,82950.4,56651.6,668218.0,0.0,43484.0,100.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:46:1,267.9,267.9,7,0.1,6.2,92.0,7.8,0.0,2.8,0.8,0.2,896191.6,108520.4,82950.4,56651.6,668218.0,0.0,43484.0,100.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:46:2,262.2395,179.92508928571425,7,5.6,36.6,62.0,37.8,0.0,8.0,0.8,0.3,898962.8,105749.2,82988.8,57169.2,670722.4,0.0,43546.0,100.0,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,15.8,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:46:3,236.2748,169.93345664739888,7,17.3,90.3,8.1,91.9,0.0,12.0,0.7,0.3,899402.4,105309.6,83028.4,57202.8,671028.4,0.0,43545.2,100.0,0.0,0.0,41.2,0.0,0.0,0.0,0.0,0.0,41.2,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:46:4,228.71115,166.9527007874015,7,25.4,88.3,10.1,89.9,0.0,77.1,0.3,0.7,899360.0,105352.0,83048.4,57182.4,670871.6,0.0,43552.0,100.0,0.0,0.0,41.3,0.0,0.0,0.0,0.0,0.0,41.3,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:46:5,282.23499999999996,183.75253257790365,7,35.3,96.2,1.8,98.2,0.0,37.2,0.5,0.4,899615.6,105096.4,83133.2,56974.0,671021.2,0.0,43553.6,100.0,0.0,0.0,45.6,0.0,0.0,0.0,0.0,0.0,45.6,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:47:0,257.41849999999977,169.7092129629629,7,10.8,72.6,25.7,74.3,0.0,7.6,0.9,0.3,900151.2,104560.8,83117.2,57039.2,671325.2,0.0,43747.2,100.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:47:1,215.22775,185.11726666666664,7,3.0,32.7,65.7,34.2,0.0,77.2,0.9,0.3,900300.4,104411.6,83165.2,57056.0,671311.2,0.0,43767.6,100.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:57:1,378.38225,292.1825,7,0.2,3.6,94.5,5.3,0.0,7.2,1.2,0.3,898472.0,106240.0,83114.4,57142.4,669159.6,0.0,44413.2,100.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
