time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
10:35:5,2660.2644499999997,1894.129663265308,6,9.8,93.8,2.8,97.2,94.9,3.4,96.6,0.0,0.0,0.0,0.0,2.7,13.7,67.2,0.7,11.8,0.2,0.7,1.5,0.4,3493741.2,536798.8,167315.2,238072.8,1211930.8,0.0,1236384.8,100.0,16.2,16.2,17.7,15.6,17.7
10:36:0,2539.8176,1867.205852631579,6,9.5,94.3,2.9,97.1,95.1,3.6,96.4,0.0,0.0,0.0,0.0,20.1,5.3,128.8,0.6,7.2,0.2,0.6,1.1,0.5,3493706.0,536834.0,167221.2,238028.0,1211856.8,0.0,1236412.8,100.0,12.9,12.9,13.8,12.9,14.2
10:36:1,2567.82075,1886.7420106382983,6,9.4,93.8,3.5,96.5,94.4,3.6,96.4,0.0,0.0,0.0,0.0,8.4,6.9,62.8,0.9,5.6,0.1,0.9,1.1,0.3,3493173.6,537366.4,167218.0,238084.0,1211766.0,0.0,1236533.6,100.0,14.7,14.7,16.5,14.2,16.5
10:36:2,2306.7568499999998,1647.6762545454544,7,11.0,88.5,9.9,90.1,89.5,9.3,90.6,0.0,0.0,0.0,0.0,1.0,2.8,17.2,1.3,8.4,0.2,1.3,2.7,0.5,3568398.0,462142.0,263605.2,269536.4,1209576.4,0.0,1130985.6,100.0,13.5,13.5,14.2,12.3,13.3
10:36:3,2157.4405,1540.8941060606057,7,6.6,53.1,45.8,54.2,51.9,46.0,54.0,0.0,0.0,0.0,0.0,0.5,1.5,11.6,0.4,6.2,0.0,0.4,1.4,0.2,3569878.4,460661.6,263869.2,268609.6,1211015.2,0.0,1130996.4,100.0,9.9,9.9,10.2,9.9,10.6
10:36:4,1621.846,1273.6872000000003,7,3.5,42.1,55.4,44.5,39.3,58.0,42.0,0.0,0.0,0.0,0.0,0.6,2.0,12.8,0.8,6.4,0.1,0.8,1.6,0.3,3572152.0,458388.0,263945.2,268918.4,1212669.6,0.0,1131111.2,100.0,9.8,9.8,10.0,9.8,10.4
10:36:5,1453.4876,1216.5438918918917,7,3.7,43.4,54.3,45.6,40.9,57.9,41.7,0.0,0.0,0.0,0.0,4.1,5.2,40.4,1.2,7.1,0.2,1.2,1.5,0.7,3570874.4,459665.6,263963.2,268180.4,1211290.8,0.0,1131108.8,100.0,8.9,8.9,8.9,8.9,9.3
10:37:0,1543.348,1229.9172894736848,7,3.8,37.1,61.2,38.8,40.8,58.4,41.5,0.0,0.0,0.0,0.0,39.2,1.8,193.4,0.9,5.9,0.1,0.9,1.4,0.4,3569770.0,460770.0,263824.8,267904.0,1210321.2,0.0,1131121.2,100.0,6.6,6.6,6.8,6.6,7.2
10:37:1,1667.13245,1309.2944375,7,3.2,36.1,62.6,37.4,38.6,60.1,39.7,0.2,0.0,0.8,0.2,0.5,1.9,11.2,0.8,5.7,0.1,0.7,1.5,0.3,3570057.6,460482.4,263940.4,267950.8,1209571.2,0.0,1131822.4,100.0,7.4,7.4,7.6,7.4,8.0
10:37:2,1668.37165,1291.1972631578951,7,3.8,36.1,63.4,36.4,30.9,68.6,31.4,0.0,0.0,0.0,0.0,2.4,2.0,20.0,1.0,6.9,0.2,1.0,1.6,0.2,3568909.2,461630.8,264077.6,267972.0,1208319.6,0.0,1131896.4,100.0,4.6,4.6,5.0,4.1,4.6
10:37:3,1654.561,1289.0079090909092,7,3.3,37.2,60.9,39.0,41.9,56.3,43.7,0.0,0.0,0.0,0.0,0.5,1.9,11.2,0.7,5.1,0.1,0.7,1.0,0.2,3570034.0,460506.0,264144.8,268449.6,1209088.8,0.0,1131912.8,100.0,12.8,12.8,12.7,12.8,13.3
10:37:4,1566.7475499999998,1137.314447368421,6,3.8,43.4,54.9,44.9,50.2,47.9,52.0,0.0,0.0,0.0,0.0,38.9,3.7,204.0,0.9,13.5,0.2,0.9,2.0,0.4,3571192.4,459347.6,264147.6,268920.8,1210514.8,0.0,1132032.4,100.0,8.7,8.7,8.4,8.7,8.8
10:37:5,1596.1524,1182.0300789473686,6,3.8,42.9,55.6,44.3,44.9,54.5,45.5,0.0,0.0,0.0,0.0,1.7,3.6,25.6,1.4,7.9,0.2,1.4,2.0,0.9,3568618.8,461921.2,264346.4,268321.2,1208350.4,0.0,1132038.0,100.0,6.8,6.8,6.6,6.8,6.8
10:38:0,1538.4693999999997,1173.3064594594593,6,3.7,42.1,54.9,45.0,47.1,51.5,48.5,0.0,0.0,0.0,0.0,2.8,1.9,21.2,0.8,7.1,0.1,0.8,1.4,0.1,3574199.2,456340.8,264474.4,268808.4,1212712.0,0.0,1132170.4,100.0,11.5,11.5,11.1,11.5,11.7
10:38:1,1434.6092000000003,1140.9010256410256,6,3.9,47.4,51.4,48.5,46.7,52.3,47.6,0.0,0.0,0.0,0.0,0.5,2.6,14.4,1.0,8.4,0.2,1.0,1.8,0.3,3572726.4,457813.6,264530.0,268965.2,1211856.4,0.0,1132200.4,100.0,6.5,6.5,6.4,6.5,6.6
