time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
10:28:4,3054.4337499999997,2568.2576111111107,1,1.8,93.9,3.8,96.2,94.7,3.7,96.3,0.0,0.0,0.0,0.0,1.0,2.9,20.4,0.8,10.4,0.0,0.8,2.0,0.3,3602437.6,428094.4,205847.6,228165.2,1216765.2,0.0,1152746.8,100.0,14.0,14.0,15.1,13.5,15.1
10:28:5,3060.8551999999995,2597.236789473684,1,1.9,94.9,3.7,96.3,94.0,3.9,96.1,0.0,0.0,0.0,0.0,1.6,4.1,27.2,0.8,6.9,0.1,0.8,1.5,0.6,3600064.0,430468.0,205793.6,227786.0,1214593.6,0.0,1152748.0,100.0,11.6,11.6,12.5,11.6,12.7
10:29:0,3105.8722,2548.009,1,1.8,88.5,9.6,90.4,85.9,11.6,88.4,0.0,0.0,0.0,0.0,30.1,2.9,170.5,1.3,9.7,0.1,1.3,1.8,0.4,3602678.0,427854.0,206109.2,227804.0,1216720.0,0.0,1152764.0,100.0,13.4,13.4,13.6,13.4,14.0
10:29:1,1347.36395,932.991625,1,0.8,51.4,47.0,53.0,53.6,45.0,54.9,0.0,0.0,0.0,0.0,1.8,4.6,28.0,1.6,12.6,0.0,1.6,2.9,0.7,3601737.6,428794.4,206058.0,227476.4,1216297.2,0.0,1152888.4,100.0,10.5,10.5,10.2,10.5,10.6
10:29:2,1370.3695,970.7452,1,1.0,48.7,50.9,49.1,51.0,48.3,51.6,0.0,0.0,0.0,0.0,0.8,2.6,16.4,1.1,8.6,0.2,1.1,1.9,0.3,3600571.6,429960.4,206058.8,227504.0,1215151.2,0.0,1152916.0,100.0,7.0,7.0,7.3,6.3,6.6
10:29:3,1483.3476,1018.6003333333333,1,0.9,47.3,51.1,48.9,54.2,44.2,55.7,0.0,0.0,0.0,0.0,24.4,2.5,141.6,0.2,2.6,0.0,0.2,0.3,0.4,3601042.4,429489.6,206208.4,227938.4,1215193.6,0.0,1152920.8,100.0,8.3,8.3,9.1,8.3,9.3
10:29:4,1265.4304,897.2928888888889,1,0.9,48.5,49.7,50.3,51.5,46.7,53.2,0.0,0.0,0.0,0.0,2.7,2.5,20.8,0.6,2.3,0.1,0.6,0.7,0.3,3600045.2,430486.8,206330.8,227951.2,1214306.8,0.0,1152928.0,100.0,9.9,9.9,10.1,9.9,10.5
10:29:5,1291.1552499999998,925.1592,1,1.0,52.3,46.1,53.9,49.4,49.4,50.4,0.0,0.0,0.0,0.0,1.6,3.7,23.6,0.8,5.8,0.1,0.8,1.2,0.4,3602072.4,428459.6,206537.2,227900.0,1215918.0,0.0,1152949.6,100.0,10.4,10.4,10.2,9.9,9.9
10:30:0,1199.2338999999997,896.2805000000001,1,1.0,50.4,46.9,53.1,54.1,45.3,54.7,0.0,0.0,0.0,0.0,1.0,2.8,20.0,0.9,10.5,0.1,0.9,2.1,0.3,3601897.6,428634.4,206638.0,227982.8,1215492.4,0.0,1153072.8,100.0,8.3,8.3,8.0,8.3,8.2
10:30:1,1386.2393,966.9843000000001,1,1.0,50.2,46.9,52.8,52.8,46.5,53.5,0.0,0.0,0.0,0.0,31.1,3.7,180.2,1.4,9.4,0.2,1.4,1.4,0.5,3604552.0,425980.0,206806.0,228575.6,1218686.8,0.0,1153102.8,100.0,9.2,9.2,8.7,9.2,8.9
10:30:2,1291.8094,896.4025555555556,1,0.9,52.8,43.7,56.3,53.6,44.1,55.8,0.0,0.0,0.0,0.0,0.5,2.3,12.8,0.9,7.4,0.2,0.9,1.6,0.2,3607166.8,423365.2,207022.8,229472.0,1220844.0,0.0,1153104.0,100.0,14.4,14.4,13.9,14.4,14.5
10:30:3,1243.0991,911.2068000000002,1,1.0,52.1,47.2,52.8,50.9,47.4,52.5,0.0,0.0,0.0,0.0,0.6,2.0,12.0,1.0,7.2,0.0,1.0,2.2,0.3,3602009.6,428522.4,206873.6,228014.0,1215680.4,0.0,1153100.4,100.0,7.0,7.0,6.8,7.0,7.0
10:30:4,1294.2448,951.6578,1,1.0,54.6,44.0,56.0,49.1,50.2,49.7,0.0,0.0,0.0,0.0,0.5,3.1,16.0,0.9,9.0,0.2,0.9,1.6,0.2,3605605.6,424926.4,207103.2,228641.6,1218858.8,0.0,1153104.8,100.0,9.4,9.4,9.2,8.9,8.9
10:30:5,1315.3072,932.7755,1,1.0,53.7,45.7,54.3,48.3,50.0,49.8,0.0,0.0,0.0,0.0,1.6,4.0,25.5,0.6,6.0,0.2,0.6,1.3,0.5,3603443.2,427088.8,207137.6,228463.2,1216537.2,0.0,1153107.2,100.0,9.0,9.0,8.8,9.0,9.1
10:31:1,1281.0354,911.1208888888891,1,0.9,2.6,95.4,4.4,5.5,92.9,7.1,0.0,0.0,0.0,0.0,0.5,1.4,9.2,0.8,5.6,0.2,0.8,1.6,0.2,3601696.8,428835.2,207191.2,228682.4,1215100.8,0.0,1153138.0,100.0,5.8,5.8,6.0,5.1,5.4
