worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.6,15:14:21,15:14:2,206.9375,101.6630909090909,1,1.1,11.5,84.0,15.7,1.0,0.0,6.8,0.3,2.1,1.7,16.8,1.5,5.8,0.0,1.5,2.2,0.8,1675192.4,360175.6,138548.8,105597.6,832740.0,0.0,342392.8,100.0,251.6,251.6,259.4,251.6,259.4
192.168.0.6,15:14:31,15:14:3,81.50209999999998,72.13969999999999,1,1.0,9.0,86.3,13.3,0.0,0.0,0.0,0.0,2.2,4.3,30.0,1.2,5.3,0.1,1.2,1.7,0.7,1679150.4,356217.6,138577.2,105711.6,835765.6,0.0,342453.6,100.0,259.4,259.4,259.8,259.4,259.9
192.168.0.6,15:14:40,15:14:4,248.8618,167.4474285714286,1,1.4,11.0,83.3,16.6,0.6,0.0,7.2,0.6,0.5,2.0,15.2,0.5,10.8,0.1,1.1,2.4,0.4,1679849.2,355518.8,138674.4,105757.2,835786.0,0.0,342428.0,100.0,344.2,344.2,364.3,343.7,363.9
192.168.0.6,15:14:51,15:14:5,401.09940000000006,274.2883846153847,1,3.9,19.5,69.9,30.0,2.4,0.0,22.5,0.3,0.4,2.0,12.0,0.6,8.7,0.2,0.9,1.6,0.5,1680052.4,355315.6,138751.2,105816.0,835932.0,0.0,342408.0,100.0,919.2,919.2,1035.8,919.2,1035.8
192.168.0.6,15:15:00,15:15:0,82.36885,70.25582978723403,1,9.4,39.5,33.7,66.2,2.4,0.0,22.5,0.3,24.0,2.8,128.8,1.0,9.4,0.3,1.3,1.8,0.8,1682640.8,352727.2,138744.8,105877.2,838312.8,0.0,342382.8,100.0,2312.4,2312.4,2560.5,2312.4,2560.6
192.168.0.6,15:15:10,15:15:1,102.82285,74.8605918367347,1,9.8,37.4,34.3,65.6,0.0,0.0,0.0,0.0,0.6,2.0,13.6,1.0,8.8,0.2,1.0,2.0,0.2,1683264.0,352104.0,138790.0,105478.4,838706.4,0.0,342396.8,100.0,2018.7,2018.7,2524.7,2018.7,2524.8
192.168.0.6,15:15:20,15:15:2,101.77029999999992,70.99160655737705,1,12.2,43.2,23.8,76.1,0.0,0.0,0.0,0.0,0.5,1.9,10.4,0.9,4.7,0.0,0.9,1.5,0.4,1683634.4,351733.6,138852.0,105483.6,839044.4,0.0,342398.4,100.0,2036.9,2036.9,3125.0,2036.9,3125.1
192.168.0.6,15:15:30,15:15:3,362.7883,152.75845508982027,1,16.7,49.6,8.5,91.4,0.4,0.0,6.4,0.3,4.5,4.0,34.8,1.0,4.0,0.2,1.3,1.0,0.7,1684462.0,350906.0,139006.4,105535.6,839282.0,0.0,342500.4,100.0,2739.1,2739.1,4238.3,2739.1,4238.4
192.168.0.6,15:15:41,15:15:4,1108.7604999999996,781.369022346369,1,17.9,54.8,0.4,99.6,0.0,0.0,0.0,0.0,23.6,2.9,126.8,1.0,10.1,0.0,1.0,2.4,0.6,1684709.6,350658.4,139231.6,105548.0,839542.4,0.0,342503.2,100.0,2351.1,2351.1,4586.4,2350.6,4585.9
192.168.0.6,15:15:52,15:15:5,2202.2380000000003,1658.638945945946,1,18.5,54.3,0.2,99.8,0.0,0.0,0.0,0.0,0.7,2.4,16.4,1.1,11.2,0.1,1.1,2.6,0.3,1688103.2,347264.8,139691.6,105576.0,841652.4,0.0,342503.2,100.0,2326.8,2326.8,4534.6,2326.8,4534.6
192.168.0.6,15:16:00,15:16:0,2640.9146,942.9965707547176,2,21.2,48.4,12.0,88.0,0.7,0.0,7.2,0.3,0.7,2.0,12.8,1.1,7.4,0.1,1.3,2.7,0.5,1691251.6,344116.4,139769.6,105626.0,843523.6,0.0,342504.8,100.0,2444.8,2444.8,3957.4,2444.8,3957.5
192.168.0.6,15:16:10,15:16:1,135.51724999999996,65.97894890510952,2,27.4,41.2,25.9,74.1,0.0,0.0,0.0,0.0,2.0,1.9,17.2,1.1,6.8,0.2,1.1,2.0,0.3,1692459.2,342908.8,139628.8,105652.0,844768.4,0.0,342571.6,100.0,2658.4,2658.4,3578.1,2658.4,3578.2
192.168.0.6,15:16:20,15:16:2,81.40710000000004,54.92912666666668,2,30.0,41.1,28.1,71.8,0.5,0.0,2.4,0.3,23.5,2.0,126.9,0.5,8.4,0.1,0.8,1.7,0.5,1692587.2,342780.8,139810.8,105708.0,844722.4,0.0,342570.8,100.0,2475.6,2475.6,3809.4,2475.6,3809.5
192.168.0.6,15:16:30,15:16:3,74.72295000000001,53.29501000000003,2,30.0,42.2,26.6,73.2,0.9,0.0,4.8,0.3,2.1,4.4,29.7,1.1,5.3,0.2,1.4,1.5,0.8,1693915.2,341452.8,139830.0,105728.0,845823.6,0.0,342571.2,100.0,2264.5,2264.5,3867.6,2264.5,3867.7
192.168.0.6,15:16:40,15:16:4,97.566,56.07183177570095,2,32.1,46.1,20.8,79.2,0.3,0.0,1.2,0.2,3.1,2.4,25.6,1.1,10.4,0.1,1.3,2.9,0.5,1694510.4,340857.6,139895.2,105757.2,846348.8,0.0,342560.0,100.0,2121.4,2121.4,4142.4,2120.9,4142.0
192.168.0.6,15:16:50,15:16:5,115.09299999999999,62.02027688172041,2,37.2,48.8,14.2,85.8,0.8,0.0,8.8,0.4,0.6,1.8,12.8,0.9,9.5,0.3,1.3,2.4,0.4,1694978.4,340389.6,139990.0,105840.0,846544.8,0.0,342565.6,100.0,2928.3,2928.3,4776.0,2928.3,4776.1
192.168.0.6,15:17:00,15:17:0,112.68109999999997,70.0495820512821,2,39.0,52.5,8.0,92.0,1.0,0.0,6.0,0.3,23.2,2.6,125.4,1.0,9.1,0.1,1.3,2.3,0.5,1695110.4,340257.6,140134.0,105890.8,846608.0,0.0,342567.2,100.0,2570.4,2570.4,5016.7,2570.4,5016.8
192.168.0.6,15:17:10,15:17:1,105.54679999999998,74.56093954659954,2,39.7,52.9,5.7,94.3,0.6,0.0,4.4,0.3,0.5,2.0,12.0,0.8,7.9,0.0,1.1,2.1,0.5,1696249.6,339118.4,140176.8,105924.0,847570.0,0.0,342584.0,100.0,2599.3,2599.3,5098.3,2599.3,5098.4
192.168.0.6,15:17:20,15:17:2,101.59699999999994,65.14976923076922,2,39.0,53.1,8.6,91.4,0.1,0.0,0.4,0.2,3.0,1.9,22.8,1.5,9.1,0.0,1.7,3.2,0.5,1696730.0,338638.0,140226.8,105948.0,848284.4,0.0,342587.6,100.0,2520.6,2520.6,4954.5,2520.6,4954.6
192.168.0.6,15:17:30,15:17:3,122.07669999999999,71.80078481012663,2,39.5,54.3,5.5,94.5,0.0,0.0,0.0,0.0,2.1,3.9,28.5,0.8,4.2,0.1,0.8,1.6,0.8,1697618.4,337749.6,140284.8,105994.4,848683.6,0.0,342694.0,100.0,2602.9,2602.9,5126.8,2602.9,5126.9
192.168.0.6,15:17:40,15:17:4,105.72119999999998,60.833276139410174,2,37.3,48.0,12.2,87.8,0.0,0.0,0.0,0.0,25.0,2.4,137.2,1.0,5.5,0.0,1.0,1.4,0.5,1697670.4,337697.6,140342.4,106000.0,848700.4,0.0,342688.0,100.0,2747.2,2747.2,4811.5,2746.7,4811.1
192.168.0.6,15:17:50,15:17:5,89.06969999999998,56.49095731707322,2,32.8,43.4,22.6,77.4,1.1,0.0,13.6,0.3,0.6,1.8,12.8,1.2,7.6,0.1,1.5,2.3,0.7,1698278.4,337089.6,140388.8,106048.0,849144.0,0.0,342693.6,100.0,2392.7,2392.7,4230.4,2392.7,4230.5
192.168.0.6,15:18:00,15:18:0,74.98045,52.93695333333333,2,30.0,41.1,26.9,73.0,0.5,0.0,3.6,0.3,1.8,2.2,18.8,1.0,7.3,0.2,1.3,1.9,0.4,1699499.2,335868.8,140357.6,106096.0,850206.4,0.0,342693.2,100.0,2488.3,2488.3,3867.1,2488.3,3867.2
